,Ticker,Mean,std,minChange,PI,ticker
0,TENK,0.00345407182034447,0.012923953341039598,0.0,,
0,TENKR,0.0,,0.0,,
0,TENKU,0.0,0.0,0.0,,
0,TENX,7.089458170425224,7.478081601715727,1.1428594783861268,,
0,TER,1.267998596912813,1.191179981787677,0.15642083959142017,,
0,TERN,4.918850388139236,5.147606043785865,0.0,,
0,GTH,3.4082271874265024,2.685025596105264,0.0,,
0,GTHX,2.625239345252662,2.647957022276646,0.0,,
0,GTLB,2.9916133077486036,2.5757162013926025,0.0,,
0,TESS,2.3648275638535763,2.0492738934906,0.0,,
0,TETE,0.0,0.0,0.0,,
0,TETEU,0.0,0.0,0.0,,
0,FEUZ,0.29844113580335596,0.4398674832189829,0.0,,
0,FEX,0.6982300809507015,0.6516695908509454,0.0,,
0,GTR,0.2457958190311249,0.3252066329209237,0.0,,
0,GTX,2.3038998111254236,1.7189886074113396,0.0,,
0,TFFP,4.716044416085981,3.331051540375727,0.0,,
0,TFIN,2.6099563118296643,2.7365885255479117,0.0,,
0,FEXDR,29.482065918343416,,29.482065918343416,,
0,GTXAP,1.458254385350017,1.3613608837462983,0.0,,
0,GURE,2.9315662303656773,2.4589777308687575,0.0,,
0,BKCC,1.5280288239145356,1.116055381581922,0.2994009197675007,,
0,TFSL,1.5836824254455824,1.807534234261438,0.0,,
0,TGAA,0.09239360562233179,0.14609751402563795,0.0,,
0,TGAAU,0.8453136345205091,1.724615418375131,0.0,,
0,TGAN,4.923513403681636,5.121815790843617,0.0,,
0,FFIN,1.7707156217751874,1.7902754061126767,0.18208666829906406,,
0,FFIV,1.2777395973583643,0.975165937519651,0.0,,
0,TGL,7.905648289110707,10.862492595023644,0.0,,
0,AKU,4.001089453436903,2.600431553219437,0.0,,
0,AKTX,5.409048520752706,4.878385838995346,0.0,,
0,AUVIP,3.3536733466196154,4.43975153051645,0.0,,
0,FGBI,3.1162268804332407,3.276470363409705,0.0,,
0,FGBIP,4.3490373653043495,5.685643974968613,0.0,,
0,GVCI,0.0877536821955365,0.27583903137013066,0.0,,
0,GVCIU,0.2940015866980783,0.9632990348719316,0.0,,
0,GVP,6.826794151433266,7.07341196430559,1.2658215432457043,,
0,GWAV,4.502472690536981,3.811535870535804,0.0,,
0,GXTG,0.7857674761593633,0.806735434332748,0.0,,
0,CAN,2.184882537739568,2.158158873613024,0.0,,
0,FIAC,0.07584099923367679,0.1014105359796741,0.0,,
0,FIACU,0.0,0.0,0.0,,
0,FIBK,2.1136606997496057,2.328082665119417,0.06458010399452707,,
0,FICS,0.3920014019038441,0.5189448763323574,0.0,,
0,FICV,0.25757604195143025,0.7222737547347774,0.0,,
0,FICVU,0.06400598201883005,0.16336023718926737,0.0,,
